start_date,trip_count
2014-04-15,31
2014-04-16,67
2014-04-17,140
2014-04-18,108
2014-04-19,128
2014-04-20,90
2014-04-21,123
2014-04-22,97
2014-04-23,148
2014-04-24,187
2014-04-25,185
2014-04-26,67
2014-04-27,107
2014-04-28,167
2014-04-29,183
2014-04-30,95
2014-05-01,149
2014-05-02,196
2014-05-03,163
2014-05-04,82
2014-05-05,155
2014-05-06,234
2014-05-07,228
2014-05-08,276
2014-05-09,223
2014-05-10,232
2014-05-11,196
2014-05-12,265
2014-05-13,228
2014-05-14,266
2014-05-15,310
2014-05-16,107
2014-05-17,185
2014-05-18,206
2014-05-19,201
2014-05-20,292
2014-05-21,309
2014-05-22,193
2014-05-23,251
2014-05-24,255
2014-05-25,256
2014-05-26,211
2014-05-27,146
2014-05-28,240
2014-05-29,304
2014-05-30,294
2014-05-31,292
2014-06-01,304
2014-06-02,319
2014-06-03,204
2014-06-04,322
2014-06-05,268
2014-06-06,247
2014-06-07,305
2014-06-08,214
2014-06-09,320
2014-06-10,278
2014-06-11,247
2014-06-12,100
2014-06-13,174
2014-06-14,223
2014-06-15,255
2014-06-16,289
2014-06-17,298
2014-06-18,294
2014-06-19,363
2014-06-20,322
2014-06-21,237
2014-06-22,234
2014-06-23,289
2014-06-24,88
2014-06-25,263
2014-06-26,306
2014-06-27,304
2014-06-28,232
2014-06-29,242
2014-06-30,241
2014-07-01,216
2014-07-02,297
2014-07-03,282
2014-07-04,306
2014-07-05,275
2014-07-06,202
2014-07-07,180
2014-07-08,235
2014-07-09,300
2014-07-10,309
2014-07-11,290
2014-07-12,246
2014-07-13,147
2014-07-14,256
2014-07-15,243
2014-07-16,332
2014-07-17,304
2014-07-18,309
2014-07-19,246
2014-07-20,215
2014-07-21,265
2014-07-22,291
2014-07-23,247
2014-07-24,271
2014-07-25,281
2014-07-26,194
2014-07-27,180
2014-07-28,107
2014-07-29,277
2014-07-30,243
2014-07-31,227
2014-08-01,300
2014-08-02,270
2014-08-03,284
2014-08-04,268
2014-08-05,272
2014-08-06,311
2014-08-07,277
2014-08-08,294
2014-08-09,267
2014-08-10,234
2014-08-11,277
2014-08-12,241
2014-08-13,75
2014-08-14,276
2014-08-15,232
2014-08-16,123
2014-08-17,186
2014-08-18,240
2014-08-19,291
2014-08-20,297
2014-08-21,271
2014-08-22,254
2014-08-23,280
2014-08-24,234
2014-08-25,266
2014-08-26,286
2014-08-27,299
2014-08-28,272
2014-08-29,280
2014-08-30,265
2014-08-31,198
2014-09-01,220
2014-09-02,226
2014-09-03,319
2014-09-04,320
2014-09-05,267
2014-09-06,197
2014-09-07,259
2014-09-08,259
2014-09-09,272
2014-09-10,300
2014-09-11,203
2014-09-12,215
