Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Precip (mm),Spd of Max Gust (km/h)
2014-01-01,-15.2,-23.9,-19.6,0.0,31.0
2014-01-02,-22.3,-27.4,-24.9,0.0,37.0
2014-01-03,-19.0,-23.6,-21.3,1.0,31.0
2014-01-04,-6.6,-21.3,-14.0,0.0,31.0
2014-01-05,0.2,-10.6,-5.2,8.0,31.0
2014-01-06,7.3,-11.0,-1.9,15.4,44.0
2014-01-07,-11.0,-16.8,-13.9,0.0,43.0
2014-01-08,-8.6,-14.4,-11.5,0.0,32.0
2014-01-09,-7.5,-11.3,-9.4,0.0,31.0
2014-01-10,-3.1,-10.8,-7.0,0.0,31.0
2014-01-11,9.1,-5.0,2.1,12.4,32.0
2014-01-12,5.1,0.9,3.0,0.0,37.0
2014-01-13,5.6,0.1,2.9,0.0,31.0
2014-01-14,5.3,0.3,2.8,5.0,31.0
2014-01-15,2.4,-2.5,-0.1,0.0,31.0
2014-01-16,0.7,-2.9,-1.1,0.0,31.0
2014-01-17,0.9,-3.8,-1.5,0.0,31.0
2014-01-18,2.7,-4.0,-0.7,1.0,31.0
2014-01-19,-2.1,-6.1,-4.1,1.0,33.0
2014-01-20,-6.1,-20.7,-13.4,1.2,31.0
2014-01-21,-18.8,-23.2,-21.0,0.0,31.0
2014-01-22,-16.4,-22.7,-19.6,0.0,31.0
2014-01-23,-16.8,-22.1,-19.5,0.0,32.0
2014-01-24,-9.6,-23.2,-16.4,0.0,31.0
2014-01-25,-5.5,-14.0,-9.8,2.2,32.0
2014-01-26,-14.0,-21.4,-17.7,0.0,32.0
2014-01-27,-6.4,-16.8,-11.6,5.4,37.0
2014-01-28,-10.0,-19.3,-14.7,0.0,41.0
2014-01-29,-9.4,-14.0,-11.7,0.0,35.0
2014-01-30,-4.4,-11.4,-7.9,0.0,31.0
2014-01-31,1.4,-4.8,-1.7,1.0,32.0
2014-02-01,0.4,-7.9,-3.8,11.6,31.0
2014-02-02,0.6,-6.4,-2.9,4.2,31.0
2014-02-03,-6.1,-12.4,-9.3,0.0,31.0
2014-02-04,-5.7,-10.8,-8.3,0.0,31.0
2014-02-05,-6.7,-14.2,-10.5,2.4,32.0
2014-02-06,-8.7,-17.8,-13.3,0.0,31.0
2014-02-07,-7.3,-11.2,-9.3,1.0,37.0
2014-02-08,-6.1,-11.8,-9.0,0.0,31.0
2014-02-09,-7.1,-11.2,-9.2,1.2,31.0
2014-02-10,-6.0,-12.7,-9.4,0.0,31.0
2014-02-11,-10.8,-16.4,-13.6,0.0,31.0
2014-02-12,-9.3,-18.9,-14.1,0.0,31.0
2014-02-13,-6.0,-14.7,-10.4,2.6,39.0
2014-02-14,-3.0,-6.2,-4.6,8.6,48.0
2014-02-15,-4.7,-8.9,-6.8,0.0,31.0
2014-02-16,-8.8,-14.7,-11.8,0.0,31.0
2014-02-17,-9.9,-16.1,-13.0,0.0,31.0
2014-02-18,-3.4,-15.4,-9.4,3.0,31.0
2014-02-19,1.6,-5.0,-1.7,0.0,31.0
2014-02-20,3.1,-2.6,0.3,0.0,31.0
2014-02-21,4.3,-0.5,1.9,21.0,31.0
2014-02-22,6.7,-1.0,2.9,0.0,43.0
2014-02-23,1.8,-4.3,-1.3,0.0,35.0
2014-02-24,-4.3,-10.5,-7.4,0.0,32.0
2014-02-25,-8.8,-13.0,-10.9,0.0,31.0
2014-02-26,-9.3,-14.3,-11.8,1.2,43.0
2014-02-27,-6.8,-14.5,-10.7,0.0,32.0
2014-02-28,-12.1,-17.9,-15.0,0.0,33.0
2014-03-01,-2.6,-14.2,-8.4,1.3,31.0
2014-03-02,-5.1,-14.4,-9.8,1.1,31.0
2014-03-03,-12.0,-16.9,-14.5,0.0,31.0
2014-03-04,-10.6,-17.5,-14.1,1.1,31.0
2014-03-05,-9.3,-15.3,-12.3,0.0,31.0
2014-03-06,-8.0,-16.5,-12.3,0.0,31.0
2014-03-07,0.7,-12.5,-5.9,1.0,31.0
2014-03-08,2.7,-5.9,-1.6,1.0,31.0
2014-03-09,-3.9,-10.0,-7.0,3.0,31.0
2014-03-10,0.7,-5.4,-2.4,4.0,31.0
2014-03-11,5.2,0.2,2.7,0.0,31.0
2014-03-12,1.7,-11.9,-5.1,15.4,31.0
2014-03-13,-5.8,-15.0,-10.4,2.2,31.0
2014-03-14,-1.0,-16.7,-7.3,0.0,31.0
2014-03-15,5.6,-5.8,-0.1,1.0,50.0
2014-03-16,-9.5,-14.3,-11.9,0.0,31.0
2014-03-17,-6.8,-16.2,-11.8,0.0,31.0
2014-03-18,-3.1,-12.2,-7.7,0.0,31.0
2014-03-19,3.2,-8.3,-2.6,3.0,39.0
2014-03-20,3.2,-0.2,1.5,4.0,32.0
2014-03-21,3.0,-2.9,0.1,1.2,31.0
2014-03-22,0.4,-3.9,-1.8,11.4,32.0
2014-03-23,0.1,-12.8,-6.4,0.0,33.0
2014-03-24,-4.7,-14.6,-9.7,0.0,31.0
2014-03-25,-1.2,-9.9,-5.6,0.0,32.0
2014-03-26,-1.3,-9.4,-5.4,0.0,33.0
2014-03-27,-1.3,-11.2,-6.3,0.0,31.0
2014-03-28,4.9,-1.6,1.7,15.2,31.0
2014-03-29,3.8,0.2,2.0,0.0,37.0
2014-03-30,0.3,-1.8,-0.8,10.3,54.0
2014-03-31,6.2,-1.4,2.4,1.1,31.0
2014-04-01,4.8,-2.6,1.1,0.0,31.0
2014-04-02,5.7,0.5,3.1,0.0,33.0
2014-04-03,3.8,-1.5,1.2,0.0,31.0
2014-04-04,7.4,-3.5,2.0,15.5,32.0
2014-04-05,5.3,0.6,3.0,1.1,39.0
2014-04-06,6.7,-0.9,2.9,0.0,31.0
2014-04-07,13.2,2.0,7.6,5.4,31.0
2014-04-08,7.7,3.1,5.4,22.8,31.0
2014-04-09,4.7,0.6,2.7,1.0,35.0
2014-04-10,16.6,0.4,8.5,3.8,37.0
2014-04-11,11.7,4.6,8.2,0.0,33.0
2014-04-12,13.9,4.4,9.2,0.0,31.0
2014-04-13,10.3,2.3,6.3,5.6,35.0
2014-04-14,24.2,2.0,13.1,9.6,31.0
2014-04-15,16.3,-5.0,5.7,13.6,33.0
2014-04-16,0.5,-7.5,-3.5,0.0,33.0
2014-04-17,7.5,-2.3,2.6,0.0,31.0
2014-04-18,10.3,2.2,6.3,0.0,31.0
2014-04-19,10.7,3.7,7.2,1.0,35.0
2014-04-20,13.3,1.0,7.2,0.0,31.0
2014-04-21,19.2,9.4,14.3,0.0,31.0
2014-04-22,12.2,6.8,9.5,11.0,31.0
2014-04-23,10.7,3.8,7.3,1.0,41.0
2014-04-24,12.6,1.9,7.3,0.0,41.0
2014-04-25,11.6,2.3,7.0,0.0,31.0
2014-04-26,8.8,2.4,5.6,13.6,31.0
2014-04-27,9.5,2.0,5.8,1.4,31.0
2014-04-28,10.9,4.7,7.8,0.0,35.0
2014-04-29,16.1,5.8,11.0,1.1,31.0
2014-04-30,10.7,5.4,8.1,33.8,31.0
2014-05-01,16.6,6.2,11.4,9.2,31.0
2014-05-02,13.0,8.9,11.0,0.0,39.0
2014-05-03,17.0,9.0,13.0,1.4,31.0
2014-05-04,11.1,7.2,9.2,21.1,31.0
2014-05-05,13.0,6.8,9.9,1.1,32.0
2014-05-06,14.5,5.4,10.0,0.0,31.0
2014-05-07,15.7,4.9,10.3,0.0,31.0
2014-05-08,16.2,7.3,11.8,0.0,31.0
2014-05-09,20.4,9.0,14.7,3.6,31.0
2014-05-10,23.3,13.3,18.3,5.4,43.0
2014-05-11,20.5,11.6,16.1,0.0,39.0
2014-05-12,21.9,9.4,15.7,0.0,31.0
2014-05-13,18.5,7.5,13.0,0.0,31.0
2014-05-14,25.2,14.2,19.7,0.0,31.0
2014-05-15,26.9,17.7,22.3,0.0,41.0
2014-05-16,22.0,10.6,16.3,30.1,31.0
2014-05-17,14.9,8.9,11.9,15.1,31.0
2014-05-18,16.5,7.4,12.0,0.0,31.0
2014-05-19,20.5,10.0,15.3,0.0,32.0
2014-05-20,22.7,10.3,16.5,0.0,31.0
2014-05-21,23.2,12.3,17.8,0.0,31.0
2014-05-22,18.9,12.7,15.8,4.4,31.0
2014-05-23,20.4,11.4,15.9,0.0,31.0
2014-05-24,21.6,11.7,16.7,0.0,31.0
2014-05-25,24.8,12.6,18.7,2.2,31.0
2014-05-26,25.9,16.7,21.3,3.6,31.0
2014-05-27,17.4,7.9,12.7,8.6,33.0
2014-05-28,16.1,9.7,12.9,1.0,32.0
2014-05-29,20.5,9.1,13.3,0.0,31.0
2014-05-30,22.6,12.0,17.3,2.0,43.0
2014-05-31,20.2,9.1,14.7,0.0,32.0
2014-06-01,25.2,9.7,17.5,0.0,32.0
2014-06-02,30.4,15.7,23.1,0.0,37.0
2014-06-03,28.1,19.1,23.6,22.0,65.0
2014-06-04,21.3,14.0,17.7,0.2,43.0
2014-06-05,17.0,13.4,15.2,0.6,31.0
2014-06-06,23.0,12.9,18.0,0.0,44.0
2014-06-07,27.5,13.3,20.4,0.0,35.0
2014-06-08,28.0,14.6,21.3,0.0,31.0
2014-06-09,27.9,19.2,23.6,0.0,35.0
2014-06-10,24.6,15.8,20.2,0.4,39.0
2014-06-11,24.1,13.1,18.6,10.4,48.0
2014-06-12,17.9,12.9,15.4,26.2,50.0
2014-06-13,19.9,16.8,18.4,41.4,48.0
2014-06-14,19.8,14.6,17.2,1.4,46.0
